"Brand","Pricing","Photo","Model","Engine","Power","Torque_lb_ft","Gearbox","Drivetrain","Seats","Doors","Weight_lbs","Length","Width","Height","Fuel","Consumption_city","Consumption_highway","Body","Equipment","Dynamics","Off-road capabilities","Safety","Sport character","Price","Punkty_miasto","Punkty_trasa","Punkty_rodzinny","Punkty_uniwersalny","Efficiency","Result"
"Honda",31670,"https://www.ccarprice.com/products/Honda_Accord_Hybrid_Sport-L_2023.jpg","Accord Hybrid Sport-L 2023","2.0L Inline-4 Hybrid",204,247,"CVT","front",5,4,3375,196.1,73.3,57.1,"Hybrid",44,41,"Sedan",5.9,4.8,3.6,5.2,2.9,8.5,6.2,9.3,5.5,9.6,6.6,0
"Honda",28000,"https://www.ccarprice.com/products/Honda_Accord_Sedan_2023.jpg","Accord Sedan 2023","1.5L Turbo Inline-4 Gas",192,260,"CVT","front",5,4,3150,196.1,73.3,57.1,"Petrol",30,38,"Sedan",5.9,5.1,2.2,5.2,2.9,8.7,5.5,9.4,5.5,9.3,5.3,0
"Honda",25000,"https://www.ccarprice.com/products/Honda_ZRV_2023.jpg","ZR-V 2023","2.0L Inline-4",158,138,"CVT","front",5,4,NA,179.8,72.4,63.4,"Petrol",26,32,"SUV",5.9,2.3,4.1,4.5,2,8.8,4.6,5.7,5.8,7.4,4.6,0
"Honda",27800,"https://www.ccarprice.com/products/Honda_HR-V_VTi-S_2022.jpg","HR-V VTi-S 2022","2.0L Inline-4 Gas",119,107,"CVT","front",5,4,2787,174,72,64,"Petrol",13,15,"SUV",6.6,2.5,6,4.7,2.2,8.7,4.1,6.4,5.8,7.4,2.2,0
"Honda",26900,"https://www.ccarprice.com/products/Honda_HR-V_VTi_2022.jpg","HR-V VTi 2022","2.0L Inline-4 Gas",119,107,"CVT","front",5,4,2787,174,72,64,"Petrol",13,15,"SUV",6.2,2.5,6,4.7,2.2,8.7,4.1,6.4,5.8,7.4,2.2,0
"Honda",25440,"https://www.ccarprice.com/products/Honda_Civic_Sport_2023.jpg","Civic Sport 2023","2.0L Inline-4 Gas",158,138,"CVT","front",5,4,2984,179,70.9,55.7,"Petrol",29,37,"Hatchback",6.9,3.2,4.8,5.8,2.8,8.8,7,7.1,3.3,7.9,5.2,0
"Honda",29990,"https://www.ccarprice.com/products/Honda_CR_V_LX_2023.jpg","CR-V LX 2023","1.5L Turbo Inline-4 Gas",190,179,"CVT","front",5,4,3337,182.1,73,66.1,"Petrol",28,34,"SUV",6.2,3.9,5.6,6,2.4,8.6,4.6,7.9,5.9,8.4,4.9,0
"Honda",65000,"https://www.ccarprice.com/products/Honda_Clarity_Fuel_Cell_2023.jpg","Clarity Fuel Cell 2023","Electric",174,221,"Automatic","front",5,4,4134,192.7,73.9,58.2,"Electric",70,0,"Sedan",6.2,3.9,2.2,5.5,1.9,6.8,7.4,4.6,5.5,7.9,5,0
"Honda",46230,"https://www.ccarprice.com/products/Honda_Ridgeline_Black_Edition_2023.jpg","Ridgeline Black Edition 2023","3.5L V6 Gas",280,262,"Automatic","all",5,4,4510,210.2,78.6,70.8,"Petrol",18,24,"SUV",6.6,5.1,5.6,6.9,5.2,7.7,3.7,8.1,6.5,8.4,3.3,0
"Honda",33760,"https://www.ccarprice.com/products/Honda_CR-V_EX-L_2023.jpg","CR-V EX-L 2023","1.5-liter Turbo Inline-4 Gas",190,179,"CVT","front",5,4,3525,184.8,73.5,66.2,"Petrol",28,34,"SUV",6.6,3.8,4.1,6.1,2.4,8.4,4.6,7.9,5.9,8.4,4.9,0
"Honda",31070,"https://www.ccarprice.com/products/Honda_Accord_Sport_SE_1_5T_2023.jpg","Accord Sport SE 1.5T 2023","1.5L Turbo Inline-4 Gas",192,192,"CVT","front",5,4,3230,196.1,73.3,57.1,"Petrol",29,35,"Sedan",5.9,4.1,3.6,5.2,2.8,8.5,5.4,9.3,5.5,9.2,5,0
"Honda",33950,"https://www.ccarprice.com/products/Honda_CR_V_Hybrid_Sport_Touring_2023_1.jpg","CR-V Hybrid Sport Touring 2023","2.0L Inline-4 Hybrid",204,247,"CVT","all",5,4,NA,NA,NA,NA,"Hybrid",35,40,"SUV",8.1,4,5.6,3.7,3.5,8.4,3.1,6.1,4.2,6.2,5.9,0
"Honda",32450,"https://www.ccarprice.com/products/Honda_CR-V_Hybrid_Sport_2023.jpg","CR-V Hybrid Sport 2023","2.0L Inline-4 Hybrid",204,247,"CVT","all",5,4,NA,NA,NA,NA,"Hybrid",35,40,"SUV",8.1,4,5.6,3.7,3.5,8.4,3.1,6.1,4.2,6.2,5.9,0
"Honda",40000,"https://www.ccarprice.com/products/Honda_Pilot_2023_Specs.jpg","Pilot 2023","3.5L V6 Gas",280,262,"Automatic","all",8,5,4321,196.5,78.6,70.6,"Petrol",19,26,"SUV",6.6,5.2,5.6,6.7,5.2,8.1,3.8,8.2,7.2,8.8,3.6,0
"Honda",36830,"https://www.ccarprice.com/products/Honda_Pilot_2022.jpg","Pilot Sport 2022","3.5L V6 Gas",280,262,"Automatic","front",8,5,4030,196.5,78.6,70.6,"Petrol",20,27,"SUV",7.8,5.4,4.1,7.3,3.9,8.2,3.9,8.2,7.2,8.8,3.8,0
"Honda",37870,"https://www.ccarprice.com/products/Honda_Passport_2023.jpg","Passport 2023","3.5-liter V6 Gas",280,262,"Automatic","all",5,4,4262,189.1,78.6,72.2,"Petrol",19,24,"SUV",5.6,5.3,5.6,5.7,5.3,8.2,3.9,8.1,6.3,8.4,3.4,0
"Honda",32790,"https://www.ccarprice.com/products/Honda_Passport_2022.jpg","Passport Sport 2022","3.5-liter V6 Gas",280,262,"Automatic","front",5,4,3955,190.5,78.6,71.6,"Petrol",20,25,"SUV",5.3,5.5,4.1,5.3,2.6,8.4,3.9,8.1,6.3,8.4,3.5,0
"Honda",31610,"https://www.ccarprice.com/products/Honda_CR-V_Hybrid_2022.jpg","CR-V Hybrid 2022","2.0L Inline-4 Hybrid",212,129,"CVT","all",5,4,3708,182.1,73,66.5,"Hybrid",40,35,"SUV",6.6,3.3,5.6,6,3.8,8.5,5.2,7.9,5.9,8.6,5.8,0
"Honda",41210,"https://www.ccarprice.com/products/Honda_Odyssey_Sport_2023.jpg","Odyssey Sport 2023","3.5-liter V6 Gas",280,262,"Automatic","front",8,5,4535,205.2,78.5,69.6,"Petrol",19,28,"Van",5.3,5.1,4,6.1,2,8,3.1,9,8,9.2,3.7,0
"Honda",37340,"https://www.ccarprice.com/products/Honda_Odyssey_2023.jpg","Odyssey 2023","3.5-liter V6 Gas",280,262,"Automatic","front",8,5,4482,205.2,78.5,69.6,"Petrol",19,28,"Van",5.3,5.2,4,6.1,2,8.2,3.1,9,8,9.2,3.7,0
"Honda",28900,"https://www.ccarprice.com/products/Honda_Insight_2023_1.jpg","Insight 2023","1.5-liter Inline-4 Hybrid",151,99,"CVT","front",5,4,3078,183.6,71.6,55.6,"Hybrid",51,45,"Sedan",5.9,2.7,2.2,4.9,2.7,8.6,6.6,9.2,5.2,9.6,7.4,0
"Honda",25760,"https://www.ccarprice.com/products/Honda_Insight_2022.jpg","Insight EX 2022","1.5-liter Inline-4 Hybrid",151,99,"CVT","front",5,4,3000,183.6,71.6,55.6,"Hybrid",55,49,"Sedan",5.9,2.7,2.2,4.9,2.7,8.8,6.8,9.3,5.2,9.7,8.1,0
"Honda",33250,"https://www.ccarprice.com/products/Honda_Clarity_2023.jpg","Clarity 2023","Hydrogen Fuel Cell",174,221,"Automatic","front",5,4,4134,192.7,73.9,58.2,"Electric",70,0,"Sedan",6.2,3.9,2.2,5.5,1.9,8.4,7.4,4.6,5.5,7.9,5,0
"Honda",28000,"https://www.ccarprice.com/products/Honda_Accord_2023_3.jpg","Accord 2023","1.5L Turbo Inline-4 Gas",192,260,"CVT","front",5,4,3150,196.1,73.3,57.1,"Petrol",30,38,"Sedan",5.9,5.1,2.2,5.2,2.9,8.7,5.5,9.4,5.5,9.3,5.3,0
"Honda",18030,"https://www.ccarprice.com/products/Honda_City_VX_MT_Diesel_2022.jpg","City VX MT Diesel 2022","Water Cooled Inline i-VTEC DOHC with VTC",NA,NA,"Manual","front",5,4,2620,182,70,60,"Diesel",15,21,"Sedan",5.9,0.9,3.9,5.3,2.4,9.2,4.9,9.3,5.3,8.9,2.9,0
"Honda",16150,"https://www.ccarprice.com/products/Honda_City_VX_MT_2022.jpg","City VX MT 2022","Water Cooled Inline i-VTEC DOHC with VTC",NA,NA,"Manual","front",5,4,2620,182,70,60,"Petrol",16,21,"Sedan",5.9,0.9,3.9,5.3,2.4,9.3,4.9,9.3,5.3,8.9,3,0
"Honda",16330,"https://www.ccarprice.com/products/Honda_City_V_MT_Diesel_2022.jpg","City V MT Diesel 2022","Water Cooled Inline i-DTEC DOHC",NA,NA,"Manual","front",5,4,2620,182,70,60,"Diesel",15,21,"Sedan",5.9,0.9,3.9,5.3,2.4,9.3,4.9,9.3,5.3,8.9,2.9,0
"Honda",14340,"https://www.ccarprice.com/products/Honda_City_V_MT_2022.jpg","City V MT 2022","Water Cooled Inline i-VTEC DOHC with VTC",NA,NA,"Manual","front",5,4,2620,182,70,60,"Petrol",15,21,"Sedan",5.9,0.9,3.9,5.3,2.4,9.4,4.9,9.3,5.3,8.9,2.9,0
"Honda",16080,"https://www.ccarprice.com/products/Honda_City_V_CVT_2022.jpg","City V CVT 2022","Water Cooled Inline i-VTEC DOHC with VTC",NA,NA,"Automatic","front",5,4,2620,182,70,60,"Petrol",16,21,"Sedan",7.2,0.9,3.9,6,2.4,9.3,4.9,9.3,5.3,8.9,3,0
"Honda",14330,"https://www.ccarprice.com/products/Honda_City_2022_1.jpg","City 2022","Water Cooled Inline i-DTEC DOHC",NA,NA,"Manual","front",5,4,2620,182,70,60,"Diesel",15,21,"SUV",7.2,0.9,5.8,6,1.9,9.4,4.2,7.9,5.7,8.1,2.9,0
"Honda",31800,"https://www.ccarprice.com/products/Honda_CR-V_2023.jpg","CR-V 2023","1.5L Turbo Inline-4 Gas",190,179,"CVT","all",5,4,NA,182.1,73,66.5,"Petrol",27,32,"SUV",6.6,3,5.6,6,3.4,8.5,4.6,7.8,5.9,8.4,4.7,0
"Honda",28690,"https://www.ccarprice.com/products/Honda_HR-V_EX-L_2WD_2023.jpg","HR-V EX-L 2WD 2023","2.0L Inline-4 Gas",158,138,"CVT","front",5,4,NA,179.8,72.4,63.4,"Petrol",26,32,"SUV",6.2,2.3,4.1,4.8,2,8.6,4.6,7.8,5.8,8.4,4.6,0
